Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
2.873374052047729492e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.857999999999999829e+01,5.628000000000000114e+01,1.000000000000000000e+00,5.392167486800000242e-01,4.773641477900000263e-01,1.468846680499999877e+02,2.000000000000000000e+01
2.903282110691070557e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.890999999999999659e+01,5.660999999999999943e+01,1.000000000000000000e+00,5.479339420300000096e-01,4.714714287999999809e-01,1.491179229100000043e+02,2.000000000000000000e+01
2.933199043273925781e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.896999999999999886e+01,5.738000000000000256e+01,1.000000000000000000e+00,5.479339823100000118e-01,4.714713982800000092e-01,1.491179333700000029e+02,2.000000000000000000e+01
2.963115200996398926e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.923000000000000398e+01,5.767000000000000171e+01,1.000000000000000000e+00,5.545505060800000052e-01,4.667603682900000051e-01,1.508734000700000024e+02,2.000000000000000000e+01
2.993023834228515625e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.926000000000000512e+01,5.831000000000000227e+01,1.000000000000000000e+00,5.545506339300000365e-01,4.667602638300000217e-01,1.508734344499999906e+02,2.000000000000000000e+01
3.022929818630218506e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.954999999999999716e+01,5.872999999999999687e+01,1.000000000000000000e+00,5.555883520300000100e-01,4.659635767900000003e-01,1.511642218499999899e+02,2.000000000000000000e+01
3.052834484577178955e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.981000000000000227e+01,5.934000000000000341e+01,1.000000000000000000e+00,5.613075359000000430e-01,4.615531832900000020e-01,1.527721881900000085e+02,2.000000000000000000e+01
3.082748441696166992e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.987000000000000455e+01,5.960000000000000142e+01,1.000000000000000000e+00,5.718614340500000059e-01,4.529888916400000021e-01,1.556969507500000134e+02,2.000000000000000000e+01
3.112661499977111816e+02,2.598274474889769081e+01,9.046162378132736137e+01,8.012999999999999545e+01,6.002000000000000313e+01,1.000000000000000000e+00,5.728525555700000327e-01,4.510367260700000047e-01,1.558371097200000008e+02,2.000000000000000000e+01
3.142571249008178711e+02,2.598274474889769081e+01,9.046162378132736137e+01,8.012999999999999545e+01,6.060000000000000142e+01,1.000000000000000000e+00,5.735493601200000180e-01,4.497072351699999970e-01,1.559598334199999954e+02,2.000000000000000000e+01
3.172522361278533936e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.993999999999999773e+01,6.092000000000000171e+01,1.000000000000000000e+00,5.846239733800000504e-01,4.397072349999999741e-01,1.593952562800000123e+02,2.000000000000000000e+01
3.202437069416046143e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.954999999999999716e+01,6.114999999999999858e+01,1.000000000000000000e+00,5.922016204000000172e-01,4.304099471699999735e-01,1.617660121399999866e+02,2.000000000000000000e+01
3.232347216606140137e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.906999999999999318e+01,6.160000000000000142e+01,1.000000000000000000e+00,5.955696591600000422e-01,4.252775113799999729e-01,1.627661826300000030e+02,1.999260086199999975e+01
3.262255821228027344e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.857999999999999829e+01,6.202000000000000313e+01,1.000000000000000000e+00,6.033828498400000129e-01,4.161302809799999891e-01,1.655744915999999876e+02,1.991485925199999940e+01
3.292163712978363037e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.826000000000000512e+01,6.272999999999999687e+01,1.000000000000000000e+00,6.102362274200000547e-01,4.061302809999999819e-01,1.677975958400000138e+02,1.985161613700000061e+01
3.322079479694366455e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.787000000000000455e+01,6.311999999999999744e+01,1.000000000000000000e+00,6.204661407499999504e-01,3.961302809999999730e-01,1.714243392600000107e+02,1.978667363499999965e+01
3.351988880634307861e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.748999999999999488e+01,6.331000000000000227e+01,1.000000000000000000e+00,6.305931426699999953e-01,3.861302810000000196e-01,1.749946660699999939e+02,1.974879635199999939e+01
3.381896030902862549e+02,2.598274474889769081e+01,9.046162378132736137e+01,7.729000000000000625e+01,6.363000000000000256e+01,1.000000000000000000e+00,6.401943906799999473e-01,3.761302810000000107e-01,1.786859154299999943e+02,1.964774879200000157e+01
